Date,Open,High,Low,Close,Adj Close,Volume,,Predicted Direction,Value,,Buy and Hold,ML,,
7/13/2021,351.5,358.48999,348.799988,352.089996,352.089996,11456000,,0,336.149963,,,,,
7/14/2021,354.559998,355.200012,346.730011,347.630005,347.630005,13894200,,0,336.149963,,,,,
7/15/2021,349.230011,349.230011,340.220001,344.459991,344.459991,14781600,,0,336.149963,,,,,
7/16/2021,344.910004,345.98999,340.140015,341.160004,341.160004,11026100,,0,336.149963,,,,,
7/19/2021,337.570007,339.790009,334.540009,336.950012,336.950012,14372300,,0,336.149963,,,,,
7/20/2021,338.799988,343.450012,334.5,341.660004,341.660004,11024300,,1,340.71997,,,,,
7/21/2021,341.5,346.519989,341.25,346.230011,346.230011,9279700,,1,345.679961,,,,,
7/22/2021,346.679993,351.540009,345.209991,351.190002,351.190002,12385400,,1,364.279968,,,,,
7/23/2021,360.910004,375.329987,357.190002,369.790009,369.790009,33694300,,1,366.94995,,,,,
7/26/2021,369.579987,374.440002,368.220001,372.459991,372.459991,14925200,,0,366.94995,,,,,
7/27/2021,371.910004,373.149994,364.549988,367.809998,367.809998,15705400,,0,366.94995,,,,,
7/28/2021,374.559998,377.549988,366.929993,373.279999,373.279999,29676900,,1,351.989958,,,,,
7/29/2021,361,365.519989,356.73999,358.320007,358.320007,33413200,,0,351.989958,,,,,
7/30/2021,354,360.730011,352.940002,356.299988,356.299988,15966700,,0,351.989958,,,,,
8/2/2021,358.100006,359.399994,350.73999,351.950012,351.950012,13180400,,0,351.989958,,,,,
8/3/2021,352.730011,353.769989,347.700012,351.23999,351.23999,12406100,,1,359.669981,,,,,
8/4/2021,352.420013,360.480011,351.51001,358.920013,358.920013,14180600,,1,363.719969,,,,,
8/5/2021,359.640015,363.899994,356.899994,362.970001,362.970001,10247200,,1,364.259978,,,,,
8/6/2021,361.399994,365.149994,361.399994,363.51001,363.51001,8918100,,1,362.359953,,,,,
8/9/2021,363.76001,365.779999,360.75,361.609985,361.609985,7798900,,0,362.359953,,,,,
8/10/2021,361.829987,364.100006,359.040009,361.130005,361.130005,7469900,,1,361.189939,,,,,
8/11/2021,362.100006,362.359985,357.809998,359.959991,359.959991,8400300,,0,361.189939,,,,,
8/12/2021,358.450012,363,357.109985,362.649994,362.649994,7170700,,1,361.719938,,,,,
8/13/2021,362.970001,364.660004,361.480011,363.179993,363.179993,7192500,,1,365.099943,,,,,
8/16/2021,362.519989,366.950012,357.380005,366.559998,366.559998,11222100,,1,356.989957,,,,,
8/17/2021,362.980011,364.670013,355.070007,358.450012,358.450012,12328700,,0,356.989957,,,,,
8/18/2021,356.25,359.859985,355.149994,355.450012,355.450012,10042400,,0,356.989957,,,,,
8/19/2021,351.350006,357.570007,351,355.119995,355.119995,12004500,,0,356.989957,,,,,
8/20/2021,354.600006,359.98999,353.309998,359.369995,359.369995,8693500,,1,360.969968,,,,,
8/23/2021,359.440002,365.690002,359.100006,363.350006,363.350006,10942000,,1,363.129972,,,,,
8/24/2021,363.660004,367.959991,361.839996,365.51001,365.51001,9235100,,0,363.129972,,,,,
8/25/2021,365.600006,370.859985,365.399994,368.390015,368.390015,9684500,,1,359.119962,,,,,
8/26/2021,368.380005,369.440002,364.130005,364.380005,364.380005,7888700,,0,359.119962,,,,,
8/27/2021,365.100006,373.73999,364.079987,372.630005,372.630005,11214200,,1,367.149961,,,,,
8/30/2021,372.559998,381.48999,370.519989,380.660004,380.660004,13547300,,0,367.149961,,,,,
8/31/2021,379.950012,382.76001,378.799988,379.380005,379.380005,12345400,,0,367.149961,,,,,
9/1/2021,379.589996,384.329987,378.809998,382.049988,382.049988,11567200,,1,360.379972,,,,,
9/2/2021,381.5,381.75,374.059998,375.279999,375.279999,14832900,,0,360.379972,,,,,
9/3/2021,374.75,377.160004,373.109985,376.26001,376.26001,7509600,,1,366.299955,,,,,
9/7/2021,375.880005,382.959991,373.149994,382.179993,382.179993,10793800,,1,361.689969,,,,,
9/8/2021,380.160004,380.869995,374.790009,377.570007,377.570007,11067200,,0,361.689969,,,,,
9/9/2021,377.640015,379.829987,376.570007,378,378,9098900,,1,362.379971,,,,,
9/10/2021,381.359985,383.790009,378.26001,378.690002,378.690002,11537600,,1,360.199979,,,,,
9/13/2021,381.679993,381.75,374.350006,376.51001,376.51001,13026300,,0,360.199979,,,,,
9/14/2021,377.399994,378.589996,375.109985,376.529999,376.529999,8711600,,1,357.589993,,,,,
9/15/2021,377,377.559998,367.670013,373.920013,373.920013,17940300,,1,356.729978,,,,,
9/16/2021,372.790009,373.559998,369.709991,373.059998,373.059998,11934200,,0,356.729978,,,,,
9/17/2021,371.410004,371.410004,361.589996,364.720001,364.720001,26299000,,0,356.729978,,,,,
9/20/2021,359.299988,361.029999,349.799988,355.700012,355.700012,19822800,,0,356.729978,,,,,
9/21/2021,358.5,360.040009,355.190002,357.480011,357.480011,11751900,,1,342.459958,,,,,
9/22/2021,347.230011,349.839996,340.690002,343.209991,343.209991,43692900,,0,342.459958,,,,,
9/23/2021,345.359985,349.670013,343,345.959991,345.959991,21806300,,1,349.459958,,,,,
9/24/2021,343.23999,354.350006,342.369995,352.959991,352.959991,18801900,,1,350.079954,,,,,
9/27/2021,349.809998,355.149994,347.079987,353.579987,353.579987,15205800,,0,350.079954,,,,,
9/28/2021,347.970001,349.600006,338.920013,340.649994,340.649994,21710300,,0,350.079954,,,,,
9/29/2021,343.149994,345.230011,338.880005,339.609985,339.609985,14452200,,0,350.079954,,,,,
9/30/2021,340.450012,342.799988,338.149994,339.390015,339.390015,16547100,,0,350.079954,,,,,
10/1/2021,341.609985,345.019989,338.640015,343.01001,343.01001,14905300,,0,350.079954,,,,,
10/4/2021,335.529999,335.940002,322.700012,326.230011,326.230011,42885000,,0,350.079954,,,,,
10/5/2021,328.579987,335.179993,326.160004,332.959991,332.959991,35377900,,1,350.759978,,,,,
10/6/2021,329.73999,334.380005,325.799988,333.640015,333.640015,26443000,,1,346.339964,,,,,
10/7/2021,337,338.839996,328.980011,329.220001,329.220001,28307500,,0,346.339964,,,,,
10/8/2021,331.51001,333.399994,328.709991,330.049988,330.049988,15934300,,1,341.739988,,,,,
10/11/2021,327.630005,330.459991,325.309998,325.450012,325.450012,14708200,,1,340.059965,,,,,
10/12/2021,323.029999,324.380005,317.369995,323.769989,323.769989,31658700,,0,340.059965,,,,,
10/13/2021,326.970001,327,322.660004,324.540009,324.540009,14761500,,1,344.049955,,,,,
10/14/2021,328.359985,330.519989,327.100006,328.529999,328.529999,14302200,,1,340.279966,,,,,
10/15/2021,328.679993,329.070007,322.51001,324.76001,324.76001,21575100,,0,340.279966,,,,,
10/18/2021,328.950012,335.890015,327.5,335.339996,335.339996,21585000,,0,340.279966,,,,,
10/19/2021,339.649994,342.459991,337.279999,339.98999,339.98999,18786300,,1,341.069975,,,,,
10/20/2021,343.450012,343.980011,339.450012,340.779999,340.779999,13639500,,1,342.169981,,,,,
10/21/2021,340.279999,342.309998,337.799988,341.880005,341.880005,16354400,,1,324.899961,,,,,
10/22/2021,326.350006,329.630005,321.109985,324.609985,324.609985,35152700,,0,324.899961,,,,,
10/25/2021,320.299988,329.559998,319.720001,328.690002,328.690002,38409000,,1,312.019957,,,,,
10/26/2021,328.26001,330.209991,309.600006,315.809998,315.809998,65654000,,0,312.019957,,,,,
10/27/2021,314.190002,319.25,312.059998,312.220001,312.220001,29971800,,1,316.719969,,,,,
10/28/2021,312.98999,325.519989,308.109985,316.920013,316.920013,50806800,,1,323.369963,,,,,
10/29/2021,320.190002,326,319.600006,323.570007,323.570007,37027000,,1,,,,,,
